,Frequency
._SmartThings_HubV3_PICS-Basic.xml,3
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelDimmer.xml,1
._16-02822-006-0x0019-OTA-ZCL8-XML-PICS.xml,2
16-02800-001-PRO_BDB-BDB-XML-PICS(2).xml,1
IAS ACE Cluster  IAS Zone & Diagnostics Only_ZHA.xml,1
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - IAS Zone only - Server.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_rotaryDimmer_V1.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS-A9XMC2D3.xml,1
docs-13-0209-20-00ha-ha-1-2-pics-in-xml-A9XMC2D3.xml,1
._docs-13-0209-20-00ha-ha-1-2-pics-in-xml.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelElecRelay_V3.xml,1
Danfoss_Ally_Icon_thermostat_cluster.xml,1
EVA Water Sensor_0x0402-Temp-Meas-Cluster-XML-PICS_v01.xml,1
16-02808-001-0x0102-Window-Covering-Cluster-XML-PICS.xml,2
pics_0x0501_0x0009_0x0101_0x0201_0x0401_0x0702_0x0b04.xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3_DW84JL.xml,1
LUMI HA PICS (Device Temperature& Alarm &Time& Metering&Electrical Measure Cluster Only)_2.xml,1
EP1-0x0402-Temperature-Measurement-PICS.xml,1
._mains_power_outlet-0x0019-OTA-Cluster-XML-PICS_v2.xml,1
0x0B04,2
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelRelay_V3.xml,1
Poll Control Cluster Only_ZHA.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS_REPEATER.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS-Wired_motor.xml,1
21-65316-002-0x0201-Thermostat-Cluster-XML-PICS.xml,1
ARISTON_REM4-BDB-v3.0.1-XML-PICS.xml,1
16-02821-002-0x0402-Temp-Meas-Cluster-XML-PICS.xml,1
docs-13-0209-21-ZigBee Home Automation 1.2 Thermostat Cluster PICS.xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_DW84JL_rev4.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_Elko_micromodule_Dimmer_V1.xml,1
17-02870-003-0X040C-0X042C-Concentration-Measurement-Clusters-XML-PICS.xml,1
Danfoss_Ally_eTRV_thermostat_cluster.xml,1
._Poll Control Cluster  IAS Zone & Diagnostics Only_ZHA.xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_ZE39KL_rev5.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS_corrected v6.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_MicromoduleShutter_V1.xml,1
LUMI HA PICS (Device Temperature& Alarm &Time& Metering&Electrical Measure Cluster Only).xml,2
16-02800-011-PRO-BDB-v3.0.1-XML-PICS(4).xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_L9D29R_rev4.xml,1
._16028220020x0019otaclusterxmlpics-2.xml,1
LEEDARSON_TRV_thermostat_cluster-20210123.xml,1
._EVA Door-Window Sensor-MG22_0x0001-Power-Config-Cluster-XML-PICS_v01.xml,1
EVA Door-Window Sensor-MG22_PRO-BDB-v3.0.1-XML-PICS_v02.xml,1
._EVA Door-Window Sensor-MG22_PRO-BDB-v3.0.1-XML-PICS_v02.xml,1
Samsung_Lux_PICS-Identify.xml,1
Samsung_Lux_PICS-Groups.xml,1
Samsung_Lux_PICS-IAS-WD.xml,1
Samsung_Lux_PICS-TemperatureMeasurement.xml,1
Samsung_Lux_PICS-ZHA-1.2.xml,1
Samsung_Lux_PICS-PowerConfig.xml,1
Samsung_Lux_PICS-OTA.xml,1
Samsung_Lux_PICS-Poll-Control.xml,1
Samsung_Lux_PICS-ColorControl.xml,1
Samsung_Lux_PICS-OnOff.xml,1
Samsung_Lux_PICS-LevelControl.xml,1
Samsung_Lux_PICS-Basic.xml,1
Samsung_Lux_PICS-Time.xml,1
Samsung_Lux_PICS-Diagnostics.xml,1
